Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Pernambuco/151633-IEC/2018	EPI1305022	2018-02-21	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.01	11.00	2018.15	2018-02-22
A/England/73640367/2017	EPI1112786	2017-09-01	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	10.00	2017.67	2017-09-02
A/Michigan/284/2017	EPI1085301	2017-09-05	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	6.00	0.04	11.00	2017.68	2017-09-06
A/Mie/25/2017	EPI1106392	2017-08-29	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.66	2017-08-30
A/Mie/26/2017	EPI1106399	2017-08-29	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.66	2017-08-29
A/Oman/5191/2017	EPI1145204	2017-09-01	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	13.00	2017.67	2017-09-XX
A/Bangladesh/2225/2017	EPI1056499	2017-06-19	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.57	6b1.A	0.00	0.00	0.00	5.00	0.08	9.00	2017.47	2017-06-20
A/India/1035/2017	EPI1161942	2017-08-29	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	9.00	2017.66	2017-08-29
A/India/225/2017	EPI1078422	2017-05-21	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.09	9.00	2017.39	2017-05-22
A/Michigan/280/2017	EPI1078342	2017-08-26	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2017.65	2017-08-27
A/Stockholm/34/2017	EPI1086480	2017-06-01	Europe	Sweden	unknown	Public Health Agency Of Sweden	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.09	11.00	2017.42	2017-06-01
A/HongKong/2242/2017	EPI1019945	2017-05-20	China	Hong Kong	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.10	10.00	2017.38	2017-05-20
A/Stockholm/33/2017	EPI1086470	2017-06-13	Europe	Sweden	unknown	Public Health Agency Of Sweden	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.08	10.00	2017.45	2017-06-14
A/SouthAfrica/R07198/2017	EPI1047164	2017-07-25	Africa	South Africa	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	5.00	0.07	10.00	2017.56	2017-07-25
A/Buea/19V-3508/2019	EPI1583013	2019-04-22	Africa	Cameroon	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.13	0.57	6b1.A	0.01	0.00	0.00	5.00	0.02	13.00	2019.31	2019-04-23
A/Algeria/329/2018	EPI1177303	2018-01-08	Africa	Algeria	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	7.00	0.02	12.00	2018.02	2018-01-09
A/Alaska/79/2017	EPI1137066	2017-12-14	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	7.00	0.03	12.00	2017.96	2017-12-15
A/Kenya/146/2018	EPI1345457	2018-07-30	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	7.00	0.01	13.00	2018.58	2018-07-31
A/Tanzania/347/2018	EPI1267149	2018-05-28	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	7.00	0.01	12.00	2018.41	2018-05-28
A/Tanzania/144/2018	EPI1267141	2018-05-17	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.57	6b1.A	0.00	0.00	0.00	7.00	0.01	12.00	2018.38	2018-05-17
A/Quebec/RV2673/2017	EPI1163231	2017-11-29	North America	Canada	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	10.00	2017.91	2017-11-29
A/Kazakhstan/122/2018	EPI1211617	2018-01-19	West Asia	Kazakhstan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.02	10.00	2018.05	2018-01-20
A/Pakistan/5/2017	EPI1195550	2017-12-07	West Asia	Pakistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	10.00	2017.93	2017-12-07
A/Pakistan/1181/2018	EPI1318452	2018-02-06	West Asia	Pakistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.02	11.00	2018.10	2018-02-07
A/Bangkok/99/2018	EPI1313922	2018-05-14	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.01	11.00	2018.37	2018-05-15
A/Shenzhen/2019-14188/2018	EPI1380949	2018-08-03	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.01	11.00	2018.59	2018-08-04
A/Cambodia/c0607403/2018	EPI1388540	2018-05-21	Southeast Asia	Cambodia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.01	10.00	2018.39	2018-05-22
A/Townsville/26/2018	EPI1319378	2018-08-07	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	12.00	2018.60	2018-08-08
A/SaudiArabia/462832/2018	EPI1354814	2018-08-25	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.65	2018-08-25
A/Iran/137742/2018	EPI1354713	2018-09-15	West Asia	Iran	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.71	2018-09-15
A/Minnesota/43/2018	EPI1310861	2018-09-02	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.67	2018-09-03
A/SaudiArabia/462678/2018	EPI1437481	2018-08-24	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.65	2018-08-24
A/Stockholm/19/2018	EPI1310025	2018-08-31	Europe	Sweden	unknown	Public Health Agency Of Sweden	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.67	2018-08-31
A/Iran/137043/2018	EPI1354709	2018-09-01	West Asia	Iran	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.67	2018-09-02
A/Trollhattan/2/2018	EPI1310049	2018-09-05	Europe	Sweden	unknown	Public Health Agency Of Sweden	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.00	10.00	2018.68	2018-09-06
A/India/2467/2017	EPI1162761	2017-09-01	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	5.00	0.06	11.00	2017.67	2017-09-02
A/SouthAuckland/3/2018	EPI1269293	2018-04-20	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.01	11.00	2018.30	2018-04-20
A/Vladivostok/RII-4023S/2018	EPI1279663	2018-04-06	West Asia	Russia	unknown	Who National Influenza Centre Russian Federation	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.01	11.00	2018.26	2018-04-06
A/Sydney/6/2018	EPI1252207	2018-01-28	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.02	11.00	2018.08	2018-01-28
A/Macau/601362/2018	EPI1388614	2018-02-17	China	China	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.02	11.00	2018.13	2018-02-18
A/Macau/SWL601289/2018	EPI1340755	2018-02-13	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	7.00	0.02	12.00	2018.12	2018-02-13
A/Shenzhen/2019-14223/2018	EPI1381048	2018-03-18	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.01	11.00	2018.21	2018-03-18
A/Shenzhen/2019-14183/2018	EPI1380934	2018-02-25	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.02	12.00	2018.16	2018-02-26
A/Fujian-Pingtan/SWL38/2018	EPI1168656	2018-01-03	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.02	11.00	2018.01	2018-01-03
A/Iwate/24/2018	EPI1260459	2018-04-02	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.01	11.00	2018.25	2018-04-03
A/Brisbane/21/2018	EPI1242913	2018-02-17	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.02	11.00	2018.13	2018-02-17
A/Jilin-Taobei/SWL1320/2018	EPI1340663	2018-04-10	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.01	12.00	2018.28	2018-04-11
A/Hunan-Wuling/1468/2018	EPI1311919	2018-03-08	China	China	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	6.00	0.02	10.00	2018.18	2018-03-08
A/Perth/334/2017	EPI1153124	2017-10-26	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.17	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.82	2017-10-26
A/AbuDhabi/186/2017	EPI1180204	2017-11-12	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.04	12.00	2017.87	2017-11-13
A/Arizona/10/2018	EPI1210905	2018-01-07	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.03	12.00	2018.02	2018-01-08
A/Washington/320/2017	EPI1137232	2017-11-03	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.05	11.00	2017.84	2017-11-03
A/Kansas/13/2017	EPI1146912	2017-12-13	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.04	11.00	2017.95	2017-12-13
A/Oregon/16/2017	EPI1094030	2017-10-02	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.07	11.00	2017.76	2017-10-03
A/HongKong/4987/2017	EPI1202147	2017-12-14	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.05	11.00	2017.96	2017-12-15
A/Idaho/7/2018	EPI1206974	2018-02-12	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.04	11.00	2018.12	2018-02-12
A/Guatemala/26/2018	EPI1274236	2018-04-03	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.03	12.00	2018.26	2018-04-04
A/Guatemala/224/2018	EPI1274284	2018-05-18	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	12.00	2018.38	2018-05-19
A/Guatemala/230/2018	EPI1323614	2018-09-02	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.01	12.00	2018.67	2018-09-03
A/Guatemala/382/2018	EPI1312406	2018-07-30	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.01	12.00	2018.58	2018-07-30
A/Guatemala/860/2018	EPI1312422	2018-06-20	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	12.00	2018.47	2018-06-21
A/Guatemala/118/2018	EPI1312454	2018-06-20	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	12.00	2018.47	2018-06-21
A/Argentina/13800/2018	EPI1312383	2018-07-06	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	13.00	2018.51	2018-XX-XX
A/Argentina/13796/2018	EPI1314394	2018-05-30	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.03	12.00	2018.41	2018-XX-XX
A/Argentina/13808/2018	EPI1312740	2018-08-14	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	13.00	2018.62	2018-08-15
A/Argentina/13764/2018	EPI1312677	2018-07-16	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	13.00	2018.54	2018-07-17
A/Belize/9026/2018	EPI1338155	2018-07-16	North America	Belize	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.17	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	12.00	2018.54	2018-07-17
A/Valparaiso/78188/2018	EPI1393607	2018-09-06	South America	Chile	unknown	Instituto De Salud Publica De Chile	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.03	14.00	2018.68	2018-09-07
A/Santiago/108998/2018	EPI1361439	2018-12-24	South America	Chile	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	6.00	0.02	13.00	2018.98	2018-12-24
A/Nevada/2/2018	EPI1328259	2018-10-27	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	6.00	0.03	12.00	2018.82	2018-10-27
A/Jamaica/2882/2019	EPI1480270	2019-02-01	North America	Jamaica	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	6.00	0.02	13.00	2019.09	2019-02-01
A/Illinois/10/2019	EPI1383000	2019-02-05	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	7.00	0.02	12.00	2019.10	2019-02-05
A/Switzerland/2181/2019	EPI1385285	2019-02-05	Europe	Switzerland	unknown	Swiss National Reference Centre For Influenza	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	13.00	2019.10	2019-02-05
A/Santiago/108999/2018	EPI1363438	2018-12-21	South America	Chile	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.57	6b1.A/183P-3	0.00	0.00	0.00	5.00	0.02	13.00	2018.97	2018-12-21
A/SouthAfrica/R07331/2017	EPI1047172	2017-07-26	Africa	South Africa	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.07	11.00	2017.57	2017-07-26
A/AbuDhabi/93/2017	EPI1180116	2017-11-07	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	10.00	2017.85	2017-11-07
A/AbuDhabi/3/2017	EPI1179757	2017-10-22	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	10.00	2017.81	2017-10-22
A/AbuDhabi/192/2017	EPI1180236	2017-11-11	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	10.00	2017.87	2017-11-12
A/AbuDhabi/196/2017	EPI1197779	2017-11-21	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	10.00	2017.89	2017-11-21
A/Brisbane/37/2017	EPI1021955	2017-04-02	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.16	10.00	2017.25	2017-04-03
A/England/74020463/2017	EPI1112508	2017-09-27	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	10.00	2017.74	2017-09-27
A/AbuDhabi/180/2017	EPI1180172	2017-10-31	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	10.00	2017.84	2017-11-01
A/Phetchaburi/105/2017	EPI1058899	2017-07-04	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.08	10.00	2017.51	2017-07-05
A/Wakayama-C/108/2017	EPI1106326	2017-09-02	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.06	10.00	2017.67	2017-09-03
A/NewZealand/551/2017	EPI1099244	2017-07-25	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.31	0.57	6b1.A	0.00	0.00	0.00	6.00	0.07	10.00	2017.56	2017-07-25
A/NewZealand/1483/2017	EPI1099196	2017-07-22	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.31	0.57	6b1.A	0.00	0.00	0.00	6.00	0.07	10.00	2017.56	2017-07-22
A/Singapore/GP2315/2017	EPI1145437	2017-11-28	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	11.00	2017.91	2017-11-28
A/SouthAustralia/262/2017	EPI1140368	2017-10-09	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.77	2017-10-10
A/Seoul/1288/2018	EPI1277078	2018-03-07	Japan Korea	South Korea	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.02	11.00	2018.18	2018-03-07
A/Cardiff/4341/2017	EPI1193189	2017-09-12	Europe	United Kingdom	unknown	Public Health Wales Microbiology	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	10.00	2017.70	2017-09-12
A/NewZealand/963/2017	EPI1099236	2017-09-08	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	10.00	2017.69	2017-09-08
A/NewZealand/1076/2017	EPI1099228	2017-09-19	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	10.00	2017.72	2017-09-19
A/Maryland/94/2017	EPI1136978	2017-11-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	11.00	2017.91	2017-11-30
A/NakhonRatachasima/217/2017	EPI1197951	2017-08-07	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.07	10.00	2017.60	2017-08-08
A/NewZealand/476/2017	EPI1047076	2017-06-20	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.09	10.00	2017.47	2017-06-21
A/Singapore/TT1672/2017	EPI1145366	2017-11-22	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	10.00	2017.90	2017-11-23
A/Lao/220/2018	EPI1249410	2018-01-29	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.02	11.00	2018.08	2018-01-29
A/AbuDhabi/178/2017	EPI1180164	2017-10-30	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.83	2017-10-30
A/India/2827/2017	EPI1162746	2017-09-09	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2017.69	2017-09-10
A/Oman/3192/2017	EPI1082186	2017-06-09	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.10	10.00	2017.44	2017-06-10
A/India/2480/2017	EPI1161981	2017-09-04	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.06	10.00	2017.68	2017-09-04
A/England/69/2017	EPI1112516	2017-10-01	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2017.75	2017-10-01
A/Buraimi/4775/2017	EPI1145191	2017-09-16	West Asia	Oman	unknown	Central Public Health Laboratory Oman	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2017.71	2017-09-16
A/Oman/4775/2017	EPI1088717	2017-09-16	West Asia	Oman	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2017.71	2017-09-16
A/Malaysia/29/2017	EPI1179373	2017-11-14	Southeast Asia	Malaysia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	10.00	2017.87	2017-11-14
A/Singapore/GP2347/2017	EPI1145445	2017-12-03	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	13.00	2017.93	2017-12-04
A/ChiangRai/11/2018	EPI1281616	2018-01-14	Southeast Asia	Thailand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.59	6b1.A	0.00	0.00	0.02	6.00	0.02	13.00	2018.04	2018-01-14
A/Nonthaburi/46/2018	EPI1281619	2018-02-25	Southeast Asia	Thailand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.02	12.00	2018.16	2018-02-26
A/Perth/10/2018	EPI1297261	2018-02-21	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.02	12.00	2018.15	2018-02-22
A/Perth/21/2018	EPI1269280	2018-03-29	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.01	12.00	2018.24	2018-03-29
A/Okinawa/17T010/2017	EPI1364796	2017-10-16	Japan Korea	Japan	unknown	Niigata University	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.79	2017-10-17
A/Okinawa/17T014/2017	EPI1364802	2017-10-23	Japan Korea	Japan	unknown	Niigata University	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	12.00	2017.81	2017-10-23
A/Okinawa/17T012/2017	EPI1364798	2017-10-20	Japan Korea	Japan	unknown	Niigata University	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.80	2017-10-21
A/Singapore/GP2298/2017	EPI1145429	2017-11-23	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.03	11.00	2017.90	2017-11-24
A/HongKong/4820/2017	EPI1107418	2017-10-22	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.57	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2017.81	2017-10-22
